GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.InfernoValidationEngine.1.new OrchestrationEngine.ValidationIssue() {...},57,0,4,0,11,0,6,0,4,0
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.ValidationEngine.Observability,0,15,0,0,0,1,0,1,0,1
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.SourceLocation,12,0,0,0,1,0,1,0,1,0
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.HapiValidationEngine,24,81,1,1,5,18,2,2,1,2
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.HapiValidationEngine.Builder,0,13,0,0,0,4,0,3,0,3
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.Hl7ValidationEngineApi,3,132,0,0,1,32,1,3,1,3
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.OrchestrationSession.Builder,167,65,17,0,41,18,16,6,6,6
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.InfernoValidationEngine.Builder,13,0,0,0,4,0,3,0,3,0
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.HapiValidationEngine.1.new OrchestrationEngine.ValidationIssue() {...},28,0,0,0,5,0,4,0,4,0
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.InfernoValidationEngine,276,0,10,0,62,0,10,0,5,0
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.Hl7ValidationEngineEmbedded.Builder,13,0,0,0,4,0,3,0,3,0
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.Hl7ValidationEngineApi.new OrchestrationEngine.ValidationResult() {...},83,20,6,0,22,2,11,2,8,2
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.ValidationEngineKey,5,50,5,5,2,9,5,3,0,3
TechBD Hub (Prime),org.techbd.orchestrate.fhir,OrchestrationEngine.Hl7ValidationEngineEmbedded,39,0,0,0,10,0,3,0,3,0
