code_type,code,display_string,system_value,description,ig_version,provenance
observation_category_sdoh,sdoh-category-unspecified,SDOH Category Unspecified,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,food-insecurity,Food Insecurity,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,housing-instability,Housing Instability,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,homelessness,Homelessness,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,inadequate-housing,Inadequate Housing,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,transportation-insecurity,Transportation Insecurity,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,financial-insecurity,Financial Insecurity,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,material-hardship,Material Hardship,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,educational-attainment,Educational Attainment,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,employment-status,Employment Status,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,veteran-status,Veteran Status,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,stress,Stress,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,social-connection,Social Connection,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,intimate-partner-violence,Intimate Partner Violence,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,elder-abuse,Elder Abuse,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,personal-health-literacy,Personal Health Literacy,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,health-insurance-coverage-status,Health Insurance Coverage Status,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,medical-cost-burden,Medical Cost Burden,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,digital-literacy,Digital Literacy,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,digital-access,Digital Access,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
observation_category_sdoh,utility-insecurity,Utility Insecurity,http://hl7.org/fhir/us/sdoh-clinicalcare/CodeSystem/SDOHCC-CodeSystemTemporaryCodes,,1.4.2,TechBD
