code_type,code,display_string,system_value,description,ig_version,provenance
potential_need_indicated,_GeneticObservationInterpretation,,,,1.4.2,TechBD
potential_need_indicated,CAR,,,,1.4.2,TechBD
potential_need_indicated,_ObservationInterpretationChange,,,,1.4.2,TechBD
potential_need_indicated,B,,,,1.4.2,TechBD
potential_need_indicated,D,,,,1.4.2,TechBD
potential_need_indicated,U,,,,1.4.2,TechBD
potential_need_indicated,W,,,,1.4.2,TechBD
potential_need_indicated,_ObservationInterpretationExceptions,,,,1.4.2,TechBD
potential_need_indicated,<,,,,1.4.2,TechBD
potential_need_indicated,>,,,,1.4.2,TechBD
potential_need_indicated,IE,,,,1.4.2,TechBD
potential_need_indicated,_ObservationInterpretationNormality,,,,1.4.2,TechBD
potential_need_indicated,A,,,,1.4.2,TechBD
potential_need_indicated,AA,,,,1.4.2,TechBD
potential_need_indicated,HH,,,,1.4.2,TechBD
potential_need_indicated,LL,,,,1.4.2,TechBD
potential_need_indicated,H,,,,1.4.2,TechBD
potential_need_indicated,HU,,,,1.4.2,TechBD
potential_need_indicated,L,,,,1.4.2,TechBD
potential_need_indicated,LU,,,,1.4.2,TechBD
potential_need_indicated,N,,,,1.4.2,TechBD
potential_need_indicated,_ObservationInterpretationSusceptibility,,,,1.4.2,TechBD
potential_need_indicated,I,,,,1.4.2,TechBD
potential_need_indicated,NCL,,,,1.4.2,TechBD
potential_need_indicated,NS,,,,1.4.2,TechBD
potential_need_indicated,R,,,,1.4.2,TechBD
potential_need_indicated,SYN-R,,,,1.4.2,TechBD
potential_need_indicated,S,,,,1.4.2,TechBD
potential_need_indicated,SDD,,,,1.4.2,TechBD
potential_need_indicated,SYN-S,,,,1.4.2,TechBD
potential_need_indicated,EX,,,,1.4.2,TechBD
potential_need_indicated,HX,,,,1.4.2,TechBD
potential_need_indicated,LX,,,,1.4.2,TechBD
potential_need_indicated,ObservationInterpretationDetection,,,,1.4.2,TechBD
potential_need_indicated,IND,,,,1.4.2,TechBD
potential_need_indicated,E,,,,1.4.2,TechBD
potential_need_indicated,NEG,,,,1.4.2,TechBD
potential_need_indicated,ND,,,,1.4.2,TechBD
potential_need_indicated,POS,,,,1.4.2,TechBD
potential_need_indicated,DET,,,,1.4.2,TechBD
potential_need_indicated,ObservationInterpretationExpectation,,,,1.4.2,TechBD
potential_need_indicated,EXP,,,,1.4.2,TechBD
potential_need_indicated,UNE,,,,1.4.2,TechBD
potential_need_indicated,ReactivityObservationInterpretation,,,,1.4.2,TechBD
potential_need_indicated,NR,,,,1.4.2,TechBD
potential_need_indicated,RR,,,,1.4.2,TechBD
potential_need_indicated,WR,,,,1.4.2,TechBD
potential_need_indicated,NULL,,,,1.4.2,TechBD
