code_type,code,display_string,system_value,description,ig_version,provenance
question_code,71802-3,,http://loinc.org,,1.4.2,TechBD
question_code,96778-6,,http://loinc.org,,1.4.2,TechBD
question_code,88122-7,,http://loinc.org,,1.4.2,TechBD
question_code,88123-5,,http://loinc.org,,1.4.2,TechBD
question_code,93030-5,,http://loinc.org,,1.4.2,TechBD
question_code,96779-4,,http://loinc.org,,1.4.2,TechBD
question_code,95618-5,,http://loinc.org,,1.4.2,TechBD
question_code,95617-7,,http://loinc.org,,1.4.2,TechBD
question_code,95616-9,,http://loinc.org,,1.4.2,TechBD
question_code,95615-1,,http://loinc.org,,1.4.2,TechBD
question_code,95614-4,,http://loinc.org,,1.4.2,TechBD
question_code,76513-1,,http://loinc.org,,1.4.2,TechBD
question_code,96780-2,,http://loinc.org,,1.4.2,TechBD
question_code,96781-0,,http://loinc.org,,1.4.2,TechBD
question_code,93159-2,,http://loinc.org,,1.4.2,TechBD
question_code,97027-7,,http://loinc.org,,1.4.2,TechBD
question_code,96782-8,,http://loinc.org,,1.4.2,TechBD
question_code,89555-7,,http://loinc.org,,1.4.2,TechBD
question_code,68516-4,,http://loinc.org,,1.4.2,TechBD
question_code,68517-2,,http://loinc.org,,1.4.2,TechBD
question_code,96842-0,,http://loinc.org,,1.4.2,TechBD
question_code,95530-2,,http://loinc.org,,1.4.2,TechBD
question_code,68524-8,,http://loinc.org,,1.4.2,TechBD
question_code,44250-9,,http://loinc.org,,1.4.2,TechBD
question_code,44255-8,,http://loinc.org,,1.4.2,TechBD
question_code,93038-8,,http://loinc.org,,1.4.2,TechBD
question_code,69858-9,,http://loinc.org,,1.4.2,TechBD
question_code,69861-3,,http://loinc.org,,1.4.2,TechBD
question_code,77594-0,,http://loinc.org,,1.4.2,TechBD
question_code,71969-0,,http://loinc.org,,1.4.2,TechBD
