code_type,code,display_string,system_value,description,ig_version,provenance
race,1002-5,American Indian or Alaska Native, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,2028-9,Asian, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,2054-5,Black or African American, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,2076-8,Native Hawaiian or Other Pacific Islander, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,2106-3,White, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1004-1,American Indian, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1735-0,Alaska Native, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1006-6,Abenaki, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1008-2,Algonquian, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1010-8,Apache, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1021-5,Arapaho, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1026-4,Arikara, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1028-0,Assiniboine, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1030-6,Assiniboine Sioux, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1033-0,Bannock, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1035-5,Blackfeet, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1037-1,Brotherton, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1039-7,Burt Lake Band, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1041-3,Caddo, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1044-7,Cahuilla, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1053-8,California Tribes, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1068-6,Canadian and Latin American Indian, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1076-9,Catawba, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1078-5,Cayuse, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1080-1,Chehalis, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
race,1082-7,Chemakuan, urn:oid:2.16.840.1.113883.6.238,,1.4.2,TechBD
