code_type,code,display_string,system_value,description,ig_version,provenance
state,AK,,,,1.4.2,TechBD
state,AL,,,,1.4.2,TechBD
state,AR,,,,1.4.2,TechBD
state,AS,,,,1.4.2,TechBD
state,AZ,,,,1.4.2,TechBD
state,CA,,,,1.4.2,TechBD
state,CO,,,,1.4.2,TechBD
state,CT,,,,1.4.2,TechBD
state,DC,,,,1.4.2,TechBD
state,DE,,,,1.4.2,TechBD
state,FL,,,,1.4.2,TechBD
state,FM,,,,1.4.2,TechBD
state,GA,,,,1.4.2,TechBD
state,GU,,,,1.4.2,TechBD
state,HI,,,,1.4.2,TechBD
state,IA,,,,1.4.2,TechBD
state,ID,,,,1.4.2,TechBD
state,IL,,,,1.4.2,TechBD
state,IN,,,,1.4.2,TechBD
state,KS,,,,1.4.2,TechBD
state,KY,,,,1.4.2,TechBD
state,LA,,,,1.4.2,TechBD
state,MA,,,,1.4.2,TechBD
state,MD,,,,1.4.2,TechBD
state,ME,,,,1.4.2,TechBD
state,MH,,,,1.4.2,TechBD
state,MI,,,,1.4.2,TechBD
state,MN,,,,1.4.2,TechBD
state,MO,,,,1.4.2,TechBD
state,MP,,,,1.4.2,TechBD
state,MS,,,,1.4.2,TechBD
state,MT,,,,1.4.2,TechBD
state,NC,,,,1.4.2,TechBD
state,ND,,,,1.4.2,TechBD
state,NE,,,,1.4.2,TechBD
state,NH,,,,1.4.2,TechBD
state,NJ,,,,1.4.2,TechBD
state,NM,,,,1.4.2,TechBD
state,NV,,,,1.4.2,TechBD
state,NY,,,,1.4.2,TechBD
state,OH,,,,1.4.2,TechBD
state,OK,,,,1.4.2,TechBD
state,OR,,,,1.4.2,TechBD
state,PA,,,,1.4.2,TechBD
state,PR,,,,1.4.2,TechBD
state,PW,,,,1.4.2,TechBD
state,RI,,,,1.4.2,TechBD
state,SC,,,,1.4.2,TechBD
state,SD,,,,1.4.2,TechBD
state,TN,,,,1.4.2,TechBD
state,TX,,,,1.4.2,TechBD
state,UT,,,,1.4.2,TechBD
state,VA,,,,1.4.2,TechBD
state,VI,,,,1.4.2,TechBD
state,VT,,,,1.4.2,TechBD
state,WA,,,,1.4.2,TechBD
state,WI,,,,1.4.2,TechBD
state,WV,,,,1.4.2,TechBD
state,WY,,,,1.4.3,TechBD
